agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
42-1967,Volánbusz - Mezőkövesd,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
42-9446$,Volánbusz - Balmazújváros,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
42-9447$,Volánbusz - Hajdúszoboszló,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
42-9650$,Volánbusz - Kazincbarcika,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
42-9660$,Volánbusz - Ózd,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
42-9680$,Volánbusz - Tiszaújváros,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
42-9700$,Volánbusz - Nyíregyháza,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
43-AJ,Volánbusz - Ajka,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
43-BD,Volánbusz - Balatonfüred,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
43-BO,Volánbusz - Balatonfűzfő,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
43-GY,Volánbusz - Győr,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
43-KE,Volánbusz - Keszthely,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
43-KO,Volánbusz - Körmend,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
43-LE,Volánbusz - Lenti,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
43-MO,Volánbusz - Mosonmagyaróvár,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
43-NK,Volánbusz - Nagykanizsa,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
43-PA,Volánbusz - Pápa,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
43-SO,Volánbusz - Sopron,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
43-VP,Volánbusz - Várpalota,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
43-ZE,Volánbusz - Zalaegerszeg,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
44-91,Volánbusz - Szolnok,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
44-92,Volánbusz - Eger,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
44-93,Volánbusz - Salgótarján,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
44-94,Volánbusz - Jászberény,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
44-95,Volánbusz - Gyöngyös,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
44-96,Volánbusz - Balassagyarmat,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
44-97,Volánbusz - Karcag,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
44-981,Volánbusz - Tiszafüred,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
44-982,Volánbusz - Mezőtúr,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
44-983,Volánbusz - Újszász,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
44-99,Volánbusz - Bátonyterenye,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
45-DU,Volánbusz - Dunaújváros,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
45-ES,Volánbusz - Esztergom,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
45-KO,Volánbusz - Komárom,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
45-OR,Volánbusz - Oroszlány,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
45-S,Volánbusz - Székesfehérvár,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
45-TA,Volánbusz - Tata,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
MB,MÁV-Volánbusz,http://www.volanbusz.hu,Europe/Budapest,hu,+36 1 382 0888
